NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
Jason Gore,86,70.969,303,63.33,65.57,0.1,0.108,0.208,"4,483",3,,2007,"$1,105,985",USA
Jason Schultz,63,71.69,295.7,60.61,62.24,0.022,-0.495,-0.474,504,,,2007,"$163,244",USA
Jeff Brehaut,59,71.754,291.2,66.04,65.11,-0.25,-0.397,-0.647,711,,,2007,"$202,389",USA
Jeff Gove,103,71.146,290.5,65.67,70.17,-0.774,0.812,0.038,"1,763",1,,2007,"$526,644",USA
Jeff Maggert,79,71.195,284.2,65.73,66.53,-0.066,0.019,-0.047,"3,304",1,,2007,"$845,585",USA
Jeff Overton,60,70.339,299.3,63.66,68.87,0.06,0.822,0.882,"2,977",3,,2007,"$1,009,630",USA
Jeff Quinney,95,71.112,281.5,65.99,65.61,0.067,-0.104,-0.037,"6,160",5,,2007,"$1,612,056",USA
Jeff Sluman,60,71.758,280.5,59.41,61.01,-0.313,-0.335,-0.648,"1,030",1,,2007,"$273,192",USA
Jerry Kelly,101,70.313,281,68.28,64.83,-0.227,0.848,0.621,"8,259",7,,2007,"$1,978,034",USA
Jesper Parnevik,88,70.629,288.5,62.31,66.53,0.979,-0.375,0.604,"1,976",1,,2007,"$1,075,216",SWE
Jim Furyk,84,69.474,279.7,74.37,69.44,-0.083,1.202,1.119,"19,214",8,1,2007,"$4,154,046",USA
Jim Rutledge,59,72.679,288.5,67.27,64.24,-0.425,-1.042,-1.466,178,,,2007,"$62,242",CAN
Joe Durant,88,71.038,284.3,73.71,68.52,-0.901,0.88,-0.021,"2,500",,,2007,"$723,599",USA
Joe Ogilvie,102,70.761,289.5,61.23,61.68,0.351,0.073,0.425,"4,311",2,1,2007,"$1,339,153",USA
Joey Sindelar,75,71.664,287.1,65.29,66.67,-0.102,-0.171,-0.273,"1,160",,,2007,"$310,717",USA
John Daly,59,71.927,312.9,41.86,61.3,-0.297,-0.478,-0.775,"1,081",,,2007,"$248,501",USA
John Mallinger,96,71.085,280.9,69.91,62.96,0.068,-0.068,0,"5,888",4,,2007,"$1,681,764",USA
John Merrick,92,71.265,297.1,61.41,69.13,-0.409,0.385,-0.025,"2,358",1,,2007,"$649,438",USA
John Rollins,102,70.419,290.4,64.81,63.64,0.104,0.413,0.517,"10,577",4,,2007,"$2,488,891",USA
John Senden,97,70.566,294.2,65.91,70.33,-0.25,0.778,0.528,"6,268",5,,2007,"$1,899,558",AUS
Johnson Wagner,97,71.144,285.5,64.18,67.75,-0.229,0.424,0.195,"2,420",2,,2007,"$1,013,024",USA
Jonathan Byrd,73,70.488,292,59.84,63.55,0.296,0.213,0.51,"9,969",4,1,2007,"$1,854,906",USA
José Coceres,50,70.737,273,75.47,61.96,-0.283,0.245,-0.038,"4,980",3,,2007,"$1,287,843",ARG
José María Olazábal,52,71.521,276,50.5,54.33,0.481,-0.945,-0.464,"3,202",1,,2007,"$979,249",ESP
Justin Leonard,95,70.527,282.7,70.05,64.8,0.124,0.393,0.517,"3,998",5,1,2007,"$2,079,248",USA
Justin Rose,63,69.301,288.7,63.93,65.73,0.061,0.816,0.878,"12,682",7,,2007,"$2,705,875",ENG
K.J. Choi,87,69.611,284.1,64.71,65.29,0.518,0.874,1.392,"21,750",7,2,2007,"$4,587,859",KOR
Ken Duke,112,70.628,288.4,67.5,65.58,0.1,0.439,0.539,"6,656",5,,2007,"$1,927,102",USA
Kenny Perry,83,70.369,299.6,64.61,67.54,-0.337,0.981,0.643,"5,550",3,,2007,"$1,197,618",USA
Kent Jones,97,71.162,287.1,68.46,66.95,-0.141,0.317,0.175,"1,196",2,,2007,"$651,108",USA
Kevin Na,84,70.884,287.4,62.64,61.97,0.348,-0.027,0.321,"3,362",3,,2007,"$856,669",USA
Kevin Stadler,95,71.895,292.9,60.27,65.57,-0.75,0.05,-0.7,"3,055",2,,2007,"$810,876",USA
Kevin Sutherland,85,70.747,291.3,60.62,65.49,-0.023,0.082,0.059,"6,278",3,,2007,"$1,351,942",USA
Kirk Triplett,77,71.818,277.5,70.39,65.58,-0.595,0.01,-0.584,"1,033",,,2007,"$316,034",USA
Kyle Reifers,71,72.407,296.3,59.15,64.49,-0.322,-0.442,-0.764,897,,,2007,"$276,369",USA
Lee Janzen,66,71.715,288,59.06,64.32,-0.226,-0.382,-0.609,"1,694",,,2007,"$409,189",USA
Lucas Glover,98,70.417,295.4,64.14,66.27,0.113,0.619,0.731,"7,729",3,,2007,"$1,664,167",USA
Luke Donald,69,70.118,278.4,68.15,63.18,0.438,0.489,0.927,"9,075",5,,2007,"$2,190,053",ENG
Marco Dawson,73,71.336,289.8,59.84,63.62,0.103,-0.107,-0.004,"1,669",1,,2007,"$521,432",USA
Mark Brooks,53,71.783,275.2,72.81,64.85,-0.211,-0.5,-0.712,489,,,2007,"$162,839",USA
Mark Calcavecchia,93,70.579,290.2,65.09,64.11,-0.213,0.717,0.504,"16,285",6,1,2007,"$2,993,332",USA
Mark Hensby,81,71.408,287,63.45,63.37,0.204,-0.47,-0.267,"1,561",1,,2007,"$969,731",AUS
Mark Wilson,87,70.57,285.3,67.1,64.86,0.024,0.443,0.467,"6,888",3,1,2007,"$1,637,112",USA
Mathew Goggin,97,70.703,298.7,67.36,68.84,-0.018,0.365,0.347,"2,468",1,,2007,"$969,488",AUS
Mathias Grönberg,95,71.214,301.5,59.7,64.5,-0.004,0.001,-0.003,"1,515",2,,2007,"$785,180",SWE
Matt Hendrix,63,72.369,301.7,62.63,64.94,-0.339,-0.878,-1.217,238,,,2007,"$108,269",USA
Matt Kuchar,85,70.703,277.1,66.2,64.95,0.041,0.369,0.41,"3,915",2,,2007,"$886,146",USA
Michael Allen,74,71.077,293,64.31,66.59,-0.035,0.129,0.094,"1,279",2,,2007,"$1,016,952",USA
Michael Boyd,61,72.095,278.7,74.34,63.06,0.072,-0.933,-0.861,294,,,2007,"$126,839",USA
Michael Putnam,96,71.215,294.5,59.97,67.03,-0.166,-0.009,-0.175,"1,791",,,2007,"$422,359",USA
Michael Sim,52,71.219,291.1,61.92,64.53,0.298,-0.258,0.04,"1,144",1,,2007,"$399,900",AUS
Mike Weir,82,70.151,289.3,63.82,63.03,-0.294,1.005,0.711,"4,003",4,1,2007,"$1,986,053",CAN
Nathan Green,103,70.644,284.3,61.8,61.9,0.241,0.022,0.263,"6,767",2,,2007,"$1,380,317",AUS
Nick O'Hern,72,70.63,279.3,62.68,60.21,-0.057,0.227,0.17,"5,330",3,,2007,"$1,342,391",AUS
Nick Watney,87,70.789,301.4,61.02,66.48,-0.198,0.454,0.256,"6,881",3,1,2007,"$1,838,629",USA
Padraig Harrington,64,69.822,293.2,57.52,60.3,0.26,0.666,0.926,"10,208",3,1,2007,"$2,658,283",IRL
Parker McLachlin,83,71.516,288.5,57.01,60.55,0.419,-0.763,-0.344,"1,307",1,,2007,"$627,582",USA
Pat Perez,84,70.051,296.6,61.13,65.49,0.09,0.24,0.33,"6,820",6,,2007,"$1,678,295",USA
Paul Gow,70,72.016,280.1,65.51,63.72,-0.294,-0.69,-0.985,"1,001",1,,2007,"$264,149",AUS
Paul Goydos,60,70.807,272.4,68.83,59.42,0.37,-0.177,0.193,"5,665",1,1,2007,"$1,229,355",USA
Paul Stankowski,52,71.427,295.7,60.03,63.19,-0.159,-0.19,-0.349,"1,288",,,2007,"$282,389",USA
Peter Lonard,85,70.611,290.9,66.7,64.61,-0.179,0.32,0.141,"4,764",3,,2007,"$1,259,881",AUS
Phil Mickelson,73,69.456,298.1,56.94,64.95,0.156,1.441,1.597,"27,394",7,3,2007,"$5,819,988",USA
Retief Goosen,50,70.297,292.9,53.55,58.91,-0.02,0.225,0.206,"3,796",1,,2007,"$1,044,386",RSA
Rich Barcelo,80,71.659,286,58.07,63.11,0.435,-0.857,-0.422,"1,217",1,,2007,"$334,244",USA
Rich Beem,89,71.036,291,65.25,64.36,0.027,0.228,0.254,"3,987",2,,2007,"$868,658",USA
Richard Johnson,93,71.555,281.1,65.56,64.65,0.24,-0.638,-0.398,"1,294",,,2007,"$377,951",SWE
Robert Allenby,90,70.462,299.6,60.85,68.29,-0.364,1.034,0.67,"10,470",8,,2007,"$2,219,538",AUS
Robert Gamez,88,71.629,281.2,69.28,65.81,-0.215,-0.197,-0.413,"1,217",3,,2007,"$693,464",USA
Robert Garrigus,95,71.358,310.5,52.86,67.02,-0.062,0.08,0.018,"4,441",4,,2007,"$1,260,010",USA
Rocco Mediate,72,70.998,278.1,67.76,64.89,-0.041,0.249,0.208,"5,271",3,,2007,"$1,166,294",USA
Rod Pampling,92,70.335,286.4,63.33,65.12,0.01,0.638,0.649,"6,180",2,,2007,"$1,475,970",AUS
Rory Sabbatini,81,69.741,289.9,59.14,61.6,0.549,0.716,1.265,"21,491",10,1,2007,"$4,550,040",RSA
Ryan Armour,107,71.048,284.7,70.31,66.29,0.129,-0.165,-0.036,"2,705",3,,2007,"$862,979",USA
Ryan Moore,92,70.7,290.7,64,65.64,0.133,0.355,0.488,"6,171",3,,2007,"$1,554,901",USA
Ryan Palmer,91,71.68,294.9,57.92,63.8,0.102,-0.296,-0.194,"2,142",1,,2007,"$524,988",USA
Ryuji Imada,104,70.952,282.6,58.77,62.72,0.474,-0.214,0.26,"6,071",2,,2007,"$1,414,864",JPN
Scott Gutschewski,67,71.994,306.1,55.96,62.7,0.03,-0.866,-0.837,870,,,2007,"$252,179",USA
Scott Verplank,82,69.693,279.6,71.42,64.33,-0.236,1.179,0.943,"13,403",10,1,2007,"$3,114,289",USA
Sean O'Hair,98,70.19,296.8,64.71,67.12,0.18,0.972,1.152,"6,292",5,,2007,"$1,921,226",USA
Sergio Garcia,68,69.481,294.2,56.28,64.56,0.269,1.192,1.461,"15,824",7,,2007,"$3,721,185",ESP
Shaun Micheel,91,70.964,284.4,67.72,66.04,-0.027,0.393,0.366,"3,263",3,,2007,"$948,195",USA
Shigeki Maruyama,84,71.175,277.7,63.02,60.98,0.396,-0.461,-0.065,"1,942",2,,2007,"$951,288",JPN
Stephen Ames,81,70.09,282.2,67.07,64.94,0.251,0.33,0.58,"5,100",4,1,2007,"$2,103,426",CAN
Stephen Leaney,82,70.82,277.4,65.82,68.43,0.219,0.193,0.412,"4,596",2,,2007,"$1,015,200",AUS
Steve Allan,63,70.873,302.4,60.05,64.78,0.259,-0.015,0.244,"2,479",1,,2007,"$568,059",AUS
